run_id,config_name,row_type,epoch,n_epoch,train_loss,val_loss,val_BER,is_best,elapsed_sec,best_epoch,best_val_loss,best_val_BER,final_train_loss,final_val_loss,final_val_BER,total_time_sec,N,P,lr,n_iter,n_u,n_h,n_conv,n_mlp_hidden,batch_size,device,model_type,damp,n_heads,use_edge_attr,edge_attr_mode
20260306_172356,amp_gat_default,epoch,1,50,0.377423,0.201203,4.240781e-02,1,137.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,2,50,0.085828,0.029421,2.840625e-03,1,275.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,3,50,0.023326,0.021166,6.201562e-03,1,412.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,4,50,0.020647,0.019988,5.405208e-03,1,549.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,5,50,0.019262,0.018094,3.929688e-03,1,686.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,6,50,0.015954,0.013309,2.312500e-03,1,824.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,7,50,0.011051,0.007547,2.495833e-03,1,964.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,8,50,0.004615,0.003310,1.906250e-03,1,1108.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,9,50,0.002967,0.002733,1.642708e-03,1,1248.0,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,10,50,0.002576,0.002470,1.495312e-03,1,1384.7,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,11,50,0.002367,0.002334,1.414583e-03,1,1519.8,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,12,50,0.002236,0.002242,1.339062e-03,1,1657.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,13,50,0.002154,0.002158,1.302083e-03,1,1793.8,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,14,50,0.002080,0.002104,1.259375e-03,1,1930.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,15,50,0.002031,0.002074,1.229167e-03,1,2065.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,16,50,0.001989,0.002025,1.221875e-03,1,2204.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,17,50,0.001953,0.001970,1.195312e-03,1,2340.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,18,50,0.001928,0.001940,1.165625e-03,1,2478.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,19,50,0.001893,0.001913,1.131250e-03,1,2616.4,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,20,50,0.001887,0.001895,1.131250e-03,1,2752.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,21,50,0.001841,0.001901,1.114583e-03,0,2890.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,22,50,0.001841,0.001859,1.106771e-03,1,3027.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,23,50,0.001813,0.001836,1.083333e-03,1,3165.7,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,24,50,0.001798,0.001841,1.081250e-03,0,3303.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,25,50,0.001812,0.001804,1.070313e-03,1,3440.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,26,50,0.001788,0.001800,1.054167e-03,1,3574.4,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,27,50,0.001766,0.001795,1.063021e-03,1,3710.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,28,50,0.001773,0.001776,1.041146e-03,1,3843.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,29,50,0.001746,0.001782,1.040625e-03,0,3981.0,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,30,50,0.001746,0.001766,1.058333e-03,1,4121.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,31,50,0.001753,0.001741,1.021354e-03,1,4259.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,32,50,0.001727,0.001779,1.036979e-03,0,4398.7,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,33,50,0.001750,0.001798,1.054167e-03,0,4540.7,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,34,50,0.001733,0.001723,1.017188e-03,1,4682.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,35,50,0.001710,0.001715,1.008854e-03,1,4821.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,36,50,0.001723,0.001706,1.003646e-03,1,4958.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,37,50,0.001709,0.001706,9.994792e-04,1,5094.6,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,38,50,0.001701,0.001694,9.984375e-04,1,5232.6,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,39,50,0.001706,0.001686,9.901042e-04,1,5369.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,40,50,0.001688,0.001665,9.765625e-04,1,5506.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,41,50,0.001666,0.001697,9.906250e-04,0,5643.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,42,50,0.001678,0.001728,1.011979e-03,0,5780.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,43,50,0.001687,0.001659,9.656250e-04,1,5917.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,44,50,0.001688,0.001674,9.708333e-04,0,6053.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,45,50,0.001650,0.001670,9.723958e-04,0,6192.7,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_172356,amp_gat_default,epoch,46,50,0.001660,0.001656,9.781250e-04,1,6329.7,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
