run_id,config_name,row_type,epoch,n_epoch,train_loss,val_loss,val_BER,is_best,elapsed_sec,best_epoch,best_val_loss,best_val_BER,final_train_loss,final_val_loss,final_val_BER,total_time_sec,N,P,lr,n_iter,n_u,n_h,n_conv,n_mlp_hidden,batch_size,device,model_type,damp,n_heads,use_edge_attr,edge_attr_mode
20260306_114705,amp_gnn_baseline,epoch,1,10,0.256136,0.060705,8.185417e-03,1,173.3,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,epoch,2,10,0.032011,0.020138,5.386458e-03,1,340.7,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,epoch,3,10,0.017891,0.016311,5.707292e-03,1,515.9,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,epoch,4,10,0.015762,0.015297,5.541146e-03,1,690.8,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,epoch,5,10,0.014887,0.014467,5.102604e-03,1,863.7,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,epoch,6,10,0.014237,0.013928,5.467187e-03,1,1036.1,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,epoch,7,10,0.013752,0.013454,5.181250e-03,1,1208.9,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,epoch,8,10,0.013356,0.013028,5.092188e-03,1,1381.6,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,epoch,9,10,0.012936,0.012759,5.075521e-03,1,1552.6,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,epoch,10,10,0.012616,0.012329,4.999479e-03,1,1724.5,,,,,,,,,,,,,,,,,,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gnn_baseline,summary,0,10,,,,,,10,0.012329,4.999479e-03,0.012616,0.012329,4.999479e-03,1724.5,128,4,5e-05,6,10,14,4,22,32,cuda,amp_gnn,1.0,1,False,gram
20260306_114705,amp_gat_default,epoch,1,10,0.336791,0.152069,2.793333e-02,1,158.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,epoch,2,10,0.063972,0.026143,4.313542e-03,1,317.0,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,epoch,3,10,0.022956,0.021249,5.588542e-03,1,472.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,epoch,4,10,0.020454,0.019669,4.908333e-03,1,630.8,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,epoch,5,10,0.019075,0.018313,4.216667e-03,1,793.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,epoch,6,10,0.017359,0.016125,3.195833e-03,1,952.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,epoch,7,10,0.014600,0.012933,2.238021e-03,1,1111.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,epoch,8,10,0.011160,0.008811,2.654167e-03,1,1269.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,epoch,9,10,0.005082,0.002909,1.639062e-03,1,1427.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,epoch,10,10,0.002466,0.002263,1.328125e-03,1,1583.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_114705,amp_gat_default,summary,0,10,,,,,,10,0.002263,1.328125e-03,0.002466,0.002263,1.328125e-03,1583.3,128,4,5e-05,6,10,14,4,22,32,cuda,amp_gat,1.0,2,True,gram_triplet
