run_id,config_name,row_type,epoch,n_epoch,train_loss,val_loss,val_BER,is_best,elapsed_sec,best_epoch,best_val_loss,best_val_BER,final_train_loss,final_val_loss,final_val_BER,total_time_sec,N,P,lr,n_iter,n_u,n_h,n_conv,n_mlp_hidden,batch_size,device,model_type,damp,n_heads,use_edge_attr,edge_attr_mode
20260308_222721,amp_gat_default,epoch,31,100,0.000088,0.000081,3.385417e-05,0,4160.4,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,32,100,0.000088,0.000064,2.604167e-05,1,4293.0,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,33,100,0.000079,0.000061,2.552083e-05,1,4428.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,34,100,0.000074,0.000060,2.291667e-05,1,4560.6,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,35,100,0.000067,0.000062,2.968750e-05,0,4692.8,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,36,100,0.000085,0.000048,1.979167e-05,1,4827.6,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,37,100,0.000065,0.000048,1.510417e-05,0,4963.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,38,100,0.000050,0.000041,1.875000e-05,1,5099.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,39,100,0.000050,0.000052,2.083333e-05,0,5236.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,40,100,0.000052,0.000040,1.927083e-05,1,5372.4,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,41,100,0.000044,0.000038,2.083333e-05,1,5505.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
