run_id,config_name,row_type,epoch,n_epoch,train_loss,val_loss,val_BER,is_best,elapsed_sec,best_epoch,best_val_loss,best_val_BER,final_train_loss,final_val_loss,final_val_BER,total_time_sec,N,P,lr,n_iter,n_u,n_h,n_conv,n_mlp_hidden,batch_size,device,model_type,damp,n_heads,use_edge_attr,edge_attr_mode
20260306_210707,amp_gat_default,epoch,1,100,0.320003,0.157069,3.076094e-02,1,137.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,2,100,0.068168,0.025148,3.786458e-03,1,271.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,3,100,0.021632,0.020102,5.824479e-03,1,406.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,4,100,0.019311,0.018424,5.251042e-03,1,548.6,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,5,100,0.017532,0.016566,4.771354e-03,1,684.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,6,100,0.015782,0.015111,4.164583e-03,1,817.0,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,7,100,0.014562,0.014033,3.564583e-03,1,950.0,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,8,100,0.013516,0.013003,3.325521e-03,1,1083.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,9,100,0.012567,0.012113,3.083854e-03,1,1217.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,10,100,0.011685,0.011120,2.946875e-03,1,1352.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,11,100,0.009083,0.004076,1.956771e-03,1,1485.7,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,12,100,0.003102,0.002642,1.446875e-03,1,1620.8,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,13,100,0.002512,0.002409,1.320313e-03,1,1756.6,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,14,100,0.002316,0.002296,1.307292e-03,1,1891.0,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,15,100,0.002256,0.002215,1.278125e-03,1,2026.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,16,100,0.002167,0.002136,1.236979e-03,1,2160.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,17,100,0.002224,0.002186,1.238021e-03,0,2296.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,18,100,0.002083,0.002047,1.185417e-03,1,2432.5,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260306_210707,amp_gat_default,epoch,19,100,0.002052,0.002034,1.180208e-03,1,2567.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
